(1, 6)
(2, 5)
(2, 6)
(4, 5)
(5, 6)
(6, 6)
(7, 5)
(8, 4)
(9, 4)
(9, 6)
(11, 5)
(12, 5)
(12, 6)
(14, 5)
(15, 3)
(15, 4)
(15, 5)
(15, 6)
(19, 5)
(19, 6)
(20, 4)
(20, 5)
(23, 3)
(23, 4)
(23, 5)
(23, 6)
(27, 3)
(28, 5)
(29, 5)
(30, 4)
(30, 5)
(30, 6)
(32, 3)
(34, 6)
(35, 5)
(36, 3)
(37, 4)
(38, 4)
(38, 6)
(40, 6)
(41, 3)
(41, 4)
(43, 5)
(43, 6)
(44, 3)
(46, 4)
(46, 6)
(47, 5)
(49, 5)
(50, 6)
(51, 3)
(52, 4)
(53, 4)
(54, 4)
(54, 6)
(56, 5)
(57, 3)
(58, 4)
(59, 3)
(60, 6)
(61, 4)
(61, 5)
(61, 6)
(63, 3)
(65, 3)
(66, 4)
(67, 5)
(68, 5)
(69, 5)
(70, 4)
(71, 4)
(72, 5)
(73, 3)
(74, 4)
(74, 5)
(74, 6)
(76, 3)
(78, 3)
(78, 5)
(80, 6)
(81, 4)
(82, 3)
(83, 3)
(83, 4)
(83, 6)
(86, 4)
(86, 6)
(87, 5)
(88, 3)
(89, 3)
(89, 4)
(89, 6)
(93, 3)
(94, 6)
(95, 4)
(96, 4)
(97, 3)
(98, 3)
(99, 4)
(99, 5)
(99, 6)
(100, 4)
(103, 3)
(103, 6)
(105, 6)
(106, 4)
(106, 5)
(106, 6)
(107, 3)
(110, 4)
(110, 5)
(111, 3)
(113, 3)
(113, 4)
(113, 5)
(113, 6)
(117, 3)
(117, 5)
(117, 6)
(120, 3)
(120, 6)
(122, 3)
(123, 5)
(124, 5)
(124, 6)
(126, 5)
(127, 3)
(128, 6)
(129, 3)
(130, 4)
(130, 5)
(130, 6)
(132, 3)
(134, 4)
(135, 3)
(135, 4)
(135, 6)
(137, 5)
(139, 3)
(140, 4)
(140, 6)
(142, 3)
(142, 5)
(144, 5)
(144, 6)
(146, 5)
(147, 6)
(148, 4)
(148, 5)
(150, 4)
(151, 5)
(152, 5)
(153, 4)
(154, 3)
(155, 3)
(155, 4)
(155, 5)
(155, 6)
(159, 6)
(160, 5)
(161, 4)
(161, 6)
(163, 3)
(164, 5)
(165, 4)
(165, 6)
(167, 3)
(167, 4)
(167, 5)
(167, 6)
(171, 5)
(172, 6)
(173, 6)
(174, 4)
(174, 6)
(175, 3)
(176, 5)
(178, 3)
(179, 5)
(179, 6)
(181, 4)
(181, 5)
(183, 3)
(184, 3)
(185, 4)
(186, 6)
(187, 4)
(188, 6)
(189, 5)
(189, 6)
(190, 3)
(191, 4)
(191, 5)
(191, 6)
(195, 4)
(196, 4)
(197, 4)
(197, 5)
(199, 6)
(200, 4)
(200, 5)
(201, 3)
(203, 3)
(204, 4)
(205, 5)
(206, 6)
(207, 3)
(208, 5)
(209, 5)
(210, 5)
(211, 4)
(212, 4)
(212, 5)
(212, 6)
(213, 3)
(216, 3)
(216, 4)
(216, 5)
(216, 6)
(220, 5)
(221, 6)
(222, 4)
(222, 6)
(224, 3)
(224, 6)
(225, 5)
(227, 3)
(228, 5)
(229, 3)
(230, 4)
(231, 3)
(232, 4)
(233, 3)
(234, 3)
(234, 5)
(236, 4)
(236, 5)
(236, 6)
(237, 3)
(239, 3)
(239, 5)
(242, 4)
(243, 4)
(244, 5)
(245, 5)
(245, 6)
(247, 6)
(248, 5)
(248, 6)
(250, 3)
(250, 6)
(252, 6)
(253, 6)
(254, 3)
(255, 4)
(255, 5)
(255, 6)
(256, 3)
(259, 4)
(260, 3)
(261, 5)
(262, 3)
(263, 6)
(264, 4)
(265, 3)
(266, 5)
(267, 5)
(268, 6)
(269, 4)
(270, 4)
(271, 3)
(272, 3)
(273, 6)
(274, 4)
(274, 5)
(276, 6)
(277, 4)
(277, 6)
(279, 4)
(280, 4)
(281, 5)
(281, 6)
(283, 4)
(284, 6)
(285, 5)
(286, 4)
(287, 3)
(287, 4)
(287, 5)
(287, 6)
(291, 3)
(292, 5)
(293, 4)
(294, 4)
(294, 6)
(296, 6)
(297, 4)
(298, 4)
(299, 3)
(300, 5)
(301, 3)
(302, 5)
(302, 6)
(304, 4)
(304, 6)
(306, 4)
(307, 3)
(308, 6)
(309, 4)
(309, 5)
(309, 6)
(312, 6)
(313, 5)
(314, 5)
(315, 3)
(315, 6)
(316, 4)
(317, 5)
(317, 6)
(319, 3)
(321, 4)
(321, 5)
(323, 4)
(324, 3)
(325, 3)
(326, 4)
(326, 5)
(328, 6)
(329, 3)
(330, 6)
(331, 4)
(332, 6)
(333, 3)
(334, 3)
(335, 5)
(336, 3)
(337, 3)
(337, 4)
(337, 5)
(337, 6)
(339, 6)
(342, 3)
(342, 4)
(342, 5)
(342, 6)
(346, 4)
